지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,10,"[열A] colA,[열B] colB",[열B] colB,"[열B] colB,[열C] colC","[열C] colC,[열D] colD,[열B] colB,[열A] colA",엄청나게 큰 다리의 움직임. 흔들리고있는 전등 (휘청휘청),10,3 |  싸우고있는 엄중한 느낌 -- 낮은 음이어울려보임 / 미스테리~~,9,없음
rub,9,[열B] colB,[열C] colC,[열C] colC,,I can see their muscles exerted,"3 |  I don't think they are in a heated fight, more like a standoff ？",2 |  Low pitches sounds more masculine,"2 |  the yellow light makes it more mysterious, I will actually assume it's a secret fight in a closed bar or something instead of a public fights that wants everyone to see",Dolente (https://youtu.be/KZD6P4TlxHc?si=Qzl8xNIssJmxBf1q)
Daisy,7,[열B] colB,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC,[열D] colD","There are two people fighting, and there is a lamp on the wall which is tilted.",9 |  The fighting scene looks intense.,7 |  I think the intensity comes with the high pitch.,8 |  The intensity comes with the density in the sound too.,The fight is associated with negative energy and stress.
Doky,8,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,건장한 인물의 큰 움직임과 긴장감 넘치는 상황적 묘사,8 |  긴박함을 잘 표현하는 빠른 템포가 어울림. ,3 |  색채가 어둡고 상황적으로도 심오하고 어두운 느낌이기 때문에 비교적 낮은 핏치의 음이 어울림.,7 |  긴박하고 긴장감 넘치는 상황을 강조하기 위하여 밀도는 높은 것이 어울릴 것 같음. ,어둡고 긴장감 넘치는 상황적 묘사. 
chanpig,8,"[열A] colA,[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열D] colD",전등이 흔들릴정도로 싸우는 느낌,8 |  전등이 흔들리고 서로가 엉켜서 싸워서,3 |  색감도 착하고 싸움이 주는 긴장되는느낌,3 |  모든게 부서져있고 묵직한 느낌 ,없음 
곤듀,10,[열B] colB,"[열C] colC,[열B] colB","[열B] colB,[열C] colC,[열D] colD,[열A] colA","[열C] colC,[열B] colB,[열D] colD,[열A] colA","인물들이 엉켜서 몸싸움하고 있는 모습, 주변 사물들의 흐트러짐 등 전체적으로 매우 역동적임이 느껴짐",10 |  그림에서 느껴지는 긴장감에 당연히 매우 빠른 템포가 어울린다고 생각함,"0 |  그림에서 느껴지는 역동적, 긴장감에 따라 낮은 음이 어울리다고 생각함",10 |  인물들에게서 느껴지는 긴장감 무거운 공기 흐름에 맞춰 음의 밀도 또한 높은 밀도로 표현하는 것이 어울리다고 생각함,"본 그림과 같이 선이 진한 그림에는 빠른템포와 낮은음, 높은밀도의 음으로 구성된 음악이 매우 어울린다고 생각하며, 이러한 무겁고 역동적인 표현에서 음과음사이의 딜레이 또는 음을 잡아당기는 느낌을 주는 효과등을 적재적소에 더해준다면 더욱더 긴장감 있고 호소력있는 표현이 연출될 것이라 생각함"
이인애,9,[열B] colB,"[열B] colB,[열C] colC","[열A] colA,[열D] colD",[열A] colA,색감 흐트러진 구성,8,3,8,정신없음
고고,8,[열B] colB,"[열B] colB,[열C] colC","[열C] colC,[열B] colB",[열B] colB,싸우는 모습,8,8,8,없음
경,8,,[열B] colB,"[열D] colD,[열B] colB,[열C] colC",[열C] colC,힘을 쓰고 있는 자세를 통해 서로 대치하는 역동성을 느낄 수 있음.,9 |  서로 대치하는 장면에서의 긴장된 분위기와 역동성을 잘 드러냄.,"5 |  나른하지 않고, 밝지 않은 긴박한 분위기의 역동성을 적당히 잘 드러냄.",7 |  밝지 않은 분위기의 역동성을 적당히 잘 드러냄.,긴장감
yoni,6,[열B] colB,,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD", 손에 들린 무기 서로 힘주고 밀고있는듯한 자세,3,3,2,대치
밍경댕,10,[열B] colB,"[열B] colB,[열C] colC","[열C] colC,[열B] colB","[열A] colA,[열B] colB,[열C] colC,[열D] colD","흔들리는 풍등 , 부러진 유리창, 손에 들고있는 날카로운 무기, 부서진 의자, 역동적인 자세",10 |  누군가는 죽는 이 상황을 표현하기에 빠른 음악이 잘 어울릴듯 ,1 |  무거운 덩치 큰 두 남자의 목숨을 건 혈투엔 낮은 음이 잘 어울릴듯,3 |  긴박함을 표현할 때 낮은 밀도로 빠르게 표현하는 게 더 극적인 표현처럼 상상이 됨.,"처절함 , 남자들의 덩치에서 나오는 파워 "
배뀽,10,"[열C] colC,[열B] colB,[열A] colA","[열B] colB,[열C] colC,[열A] colA","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열D] colD,[열C] colC,[열B] colB,[열A] colA","사람이 싸우고 있고 표정이 화가 나잇음, 전등도 흔들림, 배경질감도 격함 ",10 |  싸움은 빠르게 진행되는게 좋음 ,"2 |  어두운, 심각한 분위기를 주고 싶음 ",5 |  템포가 빨라서 밀도는 낮게해서 흐름을 조절하는 것이 좋을 듯 함 ,격함 싸움 심각함 위험 
미지,10,[열B] colB,,"[열A] colA,[열D] colD","[열A] colA,[열D] colD",얼핏 봤을때 역동적으로 느껴지지 않았으나 손에 칼을 봤을때 싸우고 있는 장면으로 생각되어 매우 역동적으로 느껴짐,10 | 급박한 분위기에 맞는 빠른 음악,3 | 가볍지않은 낮은 음의 음악이 어울림,9 | 격투하며 주변의 물건들이 흐트러지는 소리를 밀도높은 음악으로 표현 가능,긴장감
boldmas,10,"[열B] colB,[열C] colC,[열A] colA","[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC",That is where majority of the movements are taking place.,10 |  The scene seems to be very tense and a crime is about to take place and tension is building.,1 |  it matches the very dark and somber setting of the painting along with the tense action that results in a sad ending. Lower pitch seems to be fitting.,10 |  The scene is very tense and a struggle seems to be happening. The furniture is being thrown around. So much is happening all at the same time. ,The warm shades of yellow and brows and the shaking light  and the shadows casting beneath the two figures makes a very uncomfortable scene that ends in tragedy.
