,nickname,sod_a1,sod_a2,element_pose,element_color,element_light,element_stroke,element_style,elemet_add,detail_poseSize,detail_arms,detail_inclination,detail_effort,detail_face,detail_activity,detail_number,detail_location,detail_humanColor,detail_bgColor
0,나비,1.0,5.0,5.0,3.0,4.0,2.0,1.0,하늘에 구름의 양,5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0
1,rub,2.0,5.0,5.0,4.0,4.0,3.0,3.0,the style of painting regarding to cultural bg ( ex. flamingo) - very huge,4.0,5.0,4.0,3.0,4.0,5.0,2.0,2.0,3.0,4.0
2,Daisy,5.0,6.0,5.0,5.0,4.0,2.0,4.0,Definition of the painting (due to the drawing styles) - moderate,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0
3,Doky,0.0,2.0,5.0,4.0,4.0,2.0,4.0,"인물의 표정, 주변 풍경, 상황적 유추",4.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,5.0,4.0
4,chanpig,3.0,8.0,4.0,4.0,4.0,4.0,4.0,곡선과 직선,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0
5,곤듀,1.0,7.0,5.0,4.0,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0
6,이인애,2.0,6.0,5.0,4.0,3.0,4.0,4.0,선의표현 - 영향있음,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0
7,고고,1.0,7.0,5.0,3.0,3.0,3.0,3.0,-,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0
8,경,0.0,6.0,5.0,3.0,3.0,3.0,2.0,"파도나 구름, 풀 등 배경 요소",5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0
9,yoni,2.0,5.0,5.0,4.0,3.0,4.0,1.0,,4.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0
10,밍경댕,2.0,4.0,4.0,3.0,4.0,1.0,3.0,바다의 색상을 통한 깊이표현 - 큰영향  하늘의 색상을 통하 날씨- 큰영향  ,5.0,5.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,4.0
11,배뀽,,,,,,,,,,,,,,,,,,
12,미지,1.0,6.0,5.0,4.0,3.0,4.0,2.0,색 대비-보통 영향,4.0,4.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0
13,boldmas,1.0,3.0,5.0,4.0,4.0,4.0,3.0,the elements of the background or the foreground and the type of the element (e.g. a moving fire or a plain building),4.0,5.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0
14,jellybelly,,,,,,,,,,,,,,,,,,
