,Your Prolific ID,PERFORMANCE.How successful were you in terms of appreciating paintings (in this no-music setup)?,SENSE OF DYNAMICS.How well were you able to perceive the sense of dynamics of the painting (in this no-music setup)?,EMPATHETIC.How well were you able to perceive empathy with the characters in the painting (in conjunction with the generated music)?,ENJOYMENT.How enjoyable was it to appreciate art (in this no-music setup)?,CONCENTRATION.How well were you able to concentrate on your art appreciation (in this no-music setup)?,Unnamed: 213,PERFORMANCE.How successful were you in terms of appreciating paintings (in conjunction with the generated music)?,Unnamed: 215,SENSE OF DYNAMICS.How well were you able to perceive the sense of dynamics of the painting (in conjunction with the generated music)?,Unnamed: 217,EMPATHETIC.How well were you able to perceive empathy with the characters in the painting (in conjunction with the generated music)?.1,Unnamed: 219,ENJOYMENT.How enjoyable was it to appreciate art (in conjunction with the generated music)?,Unnamed: 221,CONCENTRATION.How well were you able to concentrate on your art appreciation (in conjunction with the generated music)?,Unnamed: 223,Unnamed: 224
0,Open-Ended Response,Response,Response,Response,Response,Response,Any Comments to describe your response? (optional),Response,Any Comments to describe your response? (optional),Response,Any Comments to describe your response? (optional),Response,Any Comments to describe your response? (optional),Response,Any Comments to describe your response? (optional),Response,Any Comments to describe your response? (optional),
1,1,4,3,3,3,3,,4,,4,,5,,5,,3,,
2,2,4,4,2,3,4,,5,,4,,5,,5,,4,,
3,3,3,4,3,2,3,,4,,4,,4,,4,,3,,
4,4,4,4,2,3,4,music was ass,2,,4,,5,,5,,4,,
5,5,4,4,2,2,4,,4,Dancer with tamborine in the link does not show correct image.,2,,4,,4,,4,,
6,6,4,4,3,2,5,,4,,4,,4,,3,,5,,
7,7,4,4,4,3,4,,5,,5,,5,,5,It was much nicer when you weren't having to focus on choosing a music piece,4,,
8,8,4,4,3,2,5,,2,,2,,4,,3,,5,,
9,9,3,2,4,2,3,,4,,5,,4,,5,,3,,
10,10,4,4,2,3,2,,3,,4,,5,,4,,4,,
11,11,3,4,3,2,4,,5,,5,,4,,5,,4,,
12,12,5,5,3,3,5,,3,,3,,5,,3,,5,,
13,13,5,4,4,3,4,,2,,5,,4,,4,,4,,
14,14,4,3,2,3,3,,5,,4,,5,,4,,3,,
15,15,2,4,1,2,2,,3,,4,,5,,4,,2,,
16,16,5,5,3,1,4,,5,,5,,5,,5,,4,,
17,17,3,4,1,3,5,,3,,4,,5,,3,,5,,
18,18,4,3,2,3,5,,4,,5,,4,,4,,5,,
19,19,4,4,2,3,3,"i have ADD (Now called ADHD), so i was struggling a little bit with focus drifting off, but i managed in the end,",5,,4,,4,,4,,3,the music made it alot easier.,
20,20,4,4,2,3,3,,4,,4,,4,,4,,3,,
21,21,4,3,3,2,4,,5,,5,,5,,5,,4,,
22,22,4,4,4,2,4,,5,,5,,5,,5,,4,,
23,23,4,4,4,2,4,,5,,5,,5,,5,,4,,
24,24,3,4,3,3,3,,5,,5,,5,,5,,3,,
25,25,5,4,1,2,4,,5,,4,,3,,3,,4,,
26,26,4,4,5,2,4,,5,,5,,5,,5,,4,,
27,27,4,4,2,3,5,,5,,5,,5,,5,,5,"Dancer with Tambourne is wrong picture, it was Dancer with castanets",
28,28,2,2,2,1,2,,4,,5,,5,,5,,2,"Girl with a tambourine, was the same as girl with castanets (same painting)",
29,29,4,2,2,2,3,,5,,5,,5,,5,,3,,
30,30,4,4,3,3,4,i really liked the Girl with Falcon and the Dance at Bougival,5,It worked for a few of the images and improved them but for many it felt too disjointed to appreciate the art itself,5,,5,,4,"It was exciting when it worked and I could imagine the paintings move but annoying when it felt disconnected, which was more common",4,I focused for longer but it felt less about appreciating the art and more about trying to connect with the music,
